name,company,city,state,country,address,state_clean
21110 Ridgetop Circle,Digital Realty Trust,Circle,Virginia,United States,21110 Ridgetop Circle VA Sterling United States,VA
2121 S. Price Road,Digital Realty Trust,Road,Arizona,United States,2121 S. Price Road AZ 85286 Chandler United States,AZ
21551 Beaumeade Cir,Digital Realty Trust,Ashburn,District of Columbia,United States,21551 Beaumeade Cir 20147 Ashburn United States,DC
21561-21571 Beaumeade Cir,Digital Realty Trust,Ashburn,District of Columbia,United States,21561-21571 Beaumeade Cir 20147 Ashburn United States,DC
216 West Jackson Boulevard,ANET Internet Solutions,Chicago,Illinois,United States,216 West Jackson Boulevard 60606 Chicago United States,IL
21625 Gresham Drive,Digital Realty Trust,Ashburn,District of Columbia,United States,21625 Gresham Dr 20147 Ashburn USA,DC
21635 Red Rum Dr,Zayo Group LLC,Ashburn,District of Columbia,United States,21635 Red Rum Dr 20147 Ashburn USA,DC
21745 Sir Timothy Drive,Digital Realty Trust,Ashburn,District of Columbia,United States,21745 Sir Timothy Drive 20147 Ashburn USA,DC
2200 Busse Road,Digital Realty Trust,Elk,Illinois,United States,2200 Busse Rd 60007-6020 Elk Grove Village USA,IL
2220 De La Cruz Boulevard,Digital Realty Trust,Santa,California,United States,2220 De La Cruz Blvd 95050 Santa Clara USA,CA
2260 East El Segundo Blvd,Digital Realty Trust,Segundo,California,United States,2260 East El Segundo Boulevard 90245 El Segundo United States,CA
22810 International Dr,Cyxtera,Sterling,District of Columbia,United States,22810 International Dr 20166 Sterling USA,DC
22860 International Drive,Cyxtera,Drive,Virginia,United States,22860 International Drive VA 20166 Sterling United States,VA
2299 Busse Road,Digital Realty Trust,Elk,Illinois,United States,2299 Busse Rd 60007 Elk Grove Village USA,IL
22995 Wilder Court,Cyxtera,Court,Virginia,United States,22995 Wilder Court VA 20166 Sterling United States,VA
2300 NW 89th Pl,Digital Realty Trust,Miami,,United States,2300 NW 89th Pl Miami United States,FL
2323 Bryan Street,Digital Realty Trust,Street,Texas,United States,2323 Bryan Street TX 75201 Dallas United States,TX
2401 Holly Kansas City,"Wholesale Internet, Inc.",Kansas,Missouri,United States,2401 Holly St 64108 Kansas City United States,MO
2440 Marsh Lane,Digital Realty Trust,Lane,Texas,United States,2440 Marsh Lane TX 75006 Carrollton United States,TX
250 Williams Atlanta Data Center,Carter Validus Mission Critical REIT,Atlanta,Georgia,United States,250 Williams St NW 30303 Atlanta USA,GA
250 Williams Street NW,Digital Realty Trust,Atlanta,Georgia,United States,Williams St NW 250 30303 Atlanta United States,GA
251 Exchange Place,Lincoln Rackhouse,Herndon,District of Columbia,United States,251 Exchange Pl 20170-4822 Herndon USA,DC
2701 Devils Glen Road,ColoHub LLC,Bettendorf,Iowa,United States,2701 Devils Glen Road 52722 Bettendorf United States,IA
274 Brannan Street,The Swig Company,San,California,United States,274 Brannan Street 94107 San Francisco United States,CA
2775 Northwoods Parkway,Mapletree Redwood Data Centre Trust (MRDCT),Norcross,Georgia,United States,2775 Northwoods Pkwy 30071-1533 Norcross USA,GA
2805 Lafayette Street,Digital Realty Trust,Santa,California,United States,2805 Lafayette Street 95050 Santa Clara United States,CA
2820 Northwestern Parkway,Digital Realty Trust,Pkwy,California,United States,2820 Northwestern Pkwy CA 95051 Santa Clara United States,CA
3 Corporate Place,Digital Realty Trust,Piscataway,New Jersey,United States,3 Corporate Place 08854 Piscataway United States,NJ
30 E St. SW,Verizon,Washington,District of Columbia,United States,30 E St SW 20024-3224 Washington USA,DC
300 Boulevard East,Cyxtera,East,New Jersey,United States,300 Boulevard East NJ 07086 Weehawken United States,NJ
300 JFK Boulevard East,Digital Realty Trust,Weehawken,New Jersey,United States,300 JFK Boulevard East 07086 Weehawken United States,NJ
3015 Winona Avenue,Digital Realty Trust,Avenue,California,United States,3015 Winona Avenue CA 91504 Burbank United States,CA
3065 Gold Camp Drive,Carter Validus Mission Critical REIT,Rancho,California,United States,3065 Gold Camp Drive 95670 Rancho Cordova United States,CA
3080 Raymond Street,Digital Realty Trust,Street,California,United States,3080 Raymond Street CA 95054 Santa Clara United States,CA
3105 Alfred Street,Digital Realty Trust,Santa,California,United States,3105 Alfred Street 95054 Santa Clara United States,CA
3110 N. Central Ave.,Zayo Group LLC,Phoenix,Arizona,United States,3110 N Central Ave 85012 Phoenix USA,AZ
3110 North Central Avenue,Unknown,Phoenix,Arizona,United States,3110 North Central Avenue 85012 Phoenix United States,AZ
32 Avenue of the Americas,Digital Realty Trust,New,New York,United States,32 6th Ave 10013-2473 New York USA,NY
3205 Alfred Street,Digital Realty Trust,Santa,California,United States,3205 Alfred St 95054 Santa Clara USA,CA
324 E Wisconsin,Towne Investments,Milwaukee,Wisconsin,United States,324 E. Wisconsin Ave 53202 Milwaukee United States,WI
325 Hudson Street,Netrality,New,New York,United States,325 Hudson St 10013-1005 New York USA,NY
3300 Essex Drive,Mapletree Redwood Data Centre Trust (MRDCT),Richardson,Texas,United States,3300 Essex Dr 75082-9708 Richardson USA,TX
3311 S. 120th,Zayo Group LLC,Tukwila,Washington,United States,3311 S 120th Pl 98168 Tukwila USA,WA
34 St. Martin,Lincoln Rackhouse,Marlborough,Massachusetts,United States,34 St Martin Dr 01752-3021 Marlborough USA,MA
34 St. Martin Drive,RREEF,Marlborough,Massachusetts,United States,34 St. Martin Drive 01752 Marlborough United States,MA
3433 S. 120th Place,Digital Realty Trust,Tukwila,Washington,United States,3433 S 120th Pl 98168-5101 Tukwila USA,WA
"350 E Cermak Rd, Chicago",Steadfast Networks,Chicago,Illinois,United States,350 East Cermak Road 60623 Chicago United States,IL
350 E Cermak Rd. Chicago,Digital Realty Trust,Rd.,Illinois,United States,350 E Cermak Rd. IL 60623 Chicago United States,IL
"350 East Cermak, 4th floor",Cyxtera,floor,Illinois,United States,"350 East Cermak, 4th floor IL 60616 Chicago United States",IL
"350 East Cermak, 7th floor",Cyxtera,floor,Illinois,United States,"350 East Cermak, 7th floor IL 60616 Chicago United States",IL
3500 NW,Real Effects,Boca,Florida,United States,3500 NW 2nd Ave 33431 Boca Raton United States,FL
36 NE 2nd St,Digital Realty Trust,Miami,Nebraska,United States,36 NE 2nd St FL 33132 Miami United States,NE
36 NE 2nd St.,Zayo Group LLC,Miami,Nebraska,United States,36 NE 2nd St 33132 Miami USA,NE
360 Spear Street,Digital Realty Trust,San,California,United States,360 Spear St 94105-1638 San Francisco USA,CA
360TCS,360TCS,Lombard,Illinois,United States,360 E. 22nd St. 60148 Lombard United States,IL
365 Main Street,Fastmetrics,San,California,United States,365 Main Street 94105 San Francisco United States,CA
365 Main Street,Digital Realty Trust,San,California,United States,365 Main Street 94105 San Francisco United States,CA
365 S Randolphville,Digital Realty Trust,Piscataway,New Jersey,United States,365 S Randolphville 08854 Piscataway United States,NJ
365 S Randolphville Rd,Cyxtera,Piscataway,New Jersey,United States,365 S Randolphville Rd 08854 Piscataway Township USA,NJ
3705 Raymond Street,Syptec,San,California,United States,3705 Raymond Street 95054 San Jose United States,CA
375 Riverside Parkway,Cyxtera,Parkway,Georgia,United States,375 Riverside Parkway GA 30122 Lithia Springs United States,GA
375 Riverside Parkway,Digital Realty Trust,Lithia,Georgia,United States,Riverside Parkway 375 30122 Lithia Springs United States,GA
3825 NW Aloclek Place,Digital Realty Trust,Hillsboro,Oregon,United States,3825 NW Aloclek Place 97124 Hillsboro United States,OR
393 Inverness Pkwy,Zayo Group LLC,Englewood,Colorado,United States,393 Inverness Pkwy 80112-5816 Englewood USA,CO
40 Perimeter Center East,Lincoln Rackhouse,Atlanta,Georgia,United States,40 Perimeter Center E 30346 Atlanta USA,GA
400 S Akard Street,Digital Realty Trust,St.,Texas,United States,400 S Akard St. TX 75202 Dallas United States,TX
400 Tijeras Ave NW,Cyxtera,Albuquerque,New Mexico,United States,400 Tijeras Ave NW 87102 Albuquerque USA,NM
4003 East Speedway Boulevard,Unknown,Tucson,Arizona,United States,4003 East Speedway Boulevard 85712 Tucson United States,AZ
401 North Broad,Netrality,Philadelphia,Pennsylvania,United States,401 N Broad St 19108 Philadelphia USA,PA
402 Franklin Road,Mapletree Redwood Data Centre Trust (MRDCT),Brentwood,Tennessee,United States,402 Franklin Rd 37027 Brentwood USA,TN
4025 Midway Rd,Digital Realty Trust,Carrollton,Texas,United States,4025 Midway Rd TX 75007 Carrollton United States,TX
4030 Lafayette Center Drive,Digital Realty Trust,Chantilly,District of Columbia,United States,4030 Lafayette Center Drive 20151 Chantilly United States,DC
4040 Lafayette Center,Digital Realty Trust,Chantilly,District of Columbia,United States,4040 Lafayette Center 20151 Chantilly United States,DC
4050 Lafayette Center Drive,Digital Realty Trust,Chantilly,District of Columbia,United States,4050 Lafayette Center Drive 20151 Chantilly United States,DC
4100 W 190th St,Unclaimed,Torrance,California,United States,4100 W 190th St 90504 Torrance USA,CA
420 South Grand Ave.,Brookfield Infrastructure Partners LP,Los,California,United States,420 S Grand Ave 90071-1902 Los Angeles USA,CA
421 West Church Street,421 West Church Street,Jacksonville,Pennsylvania,United States,32202 Jacksonville United States 19043556474,PA
4211 Bryan St.,Brookfield Infrastructure Partners LP,Dallas,Texas,United States,4211 Bryan St 75204 Dallas USA,TX
4316 Bryan,XC Networks,Dallas,Texas,United States,4316 Bryan St 75204 Dallas USA,TX
43790 Devin Shafron Dr,Digital Realty Trust,Ashburn,District of Columbia,United States,43790 Devin Shafron Dr 20147 Ashburn United States,DC
43791 Devin Shafron Dr,Digital Realty Trust,Ashburn,District of Columbia,United States,43791 Devin Shafron Dr 20147 Ashburn United States,DC
